CustomerName,CurrencyName,TransactionAmount
Kriti,Hongkong Dollar,14
Mohan,Hongkong Dollar,14
Mohan,Hongkong Dollar,14
Ram,Hongkong Dollar,28
Manoj,Hongkong Dollar,56
Shiv,Hongkong Dollar,56
Ram,Hongkong Dollar,70
Ram,Hongkong Dollar,84
Kriti,Hongkong Dollar,84
Shiv,Hongkong Dollar,98
Kriti,Hongkong Dollar,98
Shiv,Hongkong Dollar,98
Ram,Hongkong Dollar,112
Kriti,Hongkong Dollar,126
Kriti,Hongkong Dollar,154
Ram,Hongkong Dollar,196
Shiv,Hongkong Dollar,196
Manoj,Hongkong Dollar,210
Kriti,Hongkong Dollar,210
Kriti,Hongkong Dollar,210
Shiv,Hongkong Dollar,210
Ram,Hongkong Dollar,238
Mohan,Hongkong Dollar,238
Kriti,Hongkong Dollar,238
Ram,Hongkong Dollar,252
Shiv,Hongkong Dollar,252
Kriti,Hongkong Dollar,266
Manoj,Hongkong Dollar,280
Mohan,Hongkong Dollar,308
Ram,Hongkong Dollar,308
Ram,Hongkong Dollar,322
Manoj,Hongkong Dollar,322
Mohan,Hongkong Dollar,336
Kriti,Hongkong Dollar,336
Mohan,Hongkong Dollar,350
Shiv,Hongkong Dollar,350
Ram,Hongkong Dollar,350
Shiv,Hongkong Dollar,378
Manoj,Hongkong Dollar,378
Mohan,Hongkong Dollar,378
Shiv,Hongkong Dollar,392
Shiv,Hongkong Dollar,392
Kriti,Hongkong Dollar,406
Ram,Hongkong Dollar,406
Ram,Hongkong Dollar,406
Shiv,Hongkong Dollar,406
Ram,Hongkong Dollar,406
Manoj,Hongkong Dollar,420
Manoj,Hongkong Dollar,420
Shiv,Hongkong Dollar,420
Manoj,Hongkong Dollar,434
Shiv,Hongkong Dollar,448
Kriti,Hongkong Dollar,462
Shiv,Hongkong Dollar,462
Manoj,Hongkong Dollar,462
Manoj,Hongkong Dollar,476
Ram,Hongkong Dollar,476
Manoj,Hongkong Dollar,476
Kriti,Hongkong Dollar,490
Manoj,Hongkong Dollar,490
Kriti,Hongkong Dollar,490
Kriti,Hongkong Dollar,490
Shiv,Hongkong Dollar,490
Kriti,Hongkong Dollar,504
Ram,Hongkong Dollar,504
Manoj,Hongkong Dollar,504
Shiv,Hongkong Dollar,504
Manoj,Hongkong Dollar,504
Ram,Hongkong Dollar,532
Manoj,Hongkong Dollar,532
Ram,Hongkong Dollar,546
Ram,Hongkong Dollar,560
Shiv,Hongkong Dollar,574
Ram,Hongkong Dollar,574
